SampleID	Cluster
MP15882_S19	5
MP15890_S72	5
MP16278_S47	8
MP16343_S26	8
MP16513_S65	3
MP16625_S25	8
MP16644_S43	1
MP16649_S74	3
MP16836_S60	2
MP16910_S50	7
MP17024_S57	2
MP17058_S89	2
MP17210_S71	4
MP17264_S87	4
MP17445_S41	4
MP17465_S28	4
MP17496_S16	4
MP18216_S46	7
MP18406_S67	6
MP18519_S49	8
MP18613_S70	5
MP18803_S13	4
MP18916_S78	3
MP19015_S22	7
MP19114_S6	2
MP19198_S27	5
MP19428_S94	5
MP19600_S69	3
MP19728_S81	2
MP19735_S80	5
MP19763_S45	2
MP19897_S61	3
MP19910_S24	7
MP19967_S95	6
MP10005_S80	8
MP10025_S6	2
MP10446_S35	8
MP10471_S46	4
MP10565_S32	2
MP10765_S94	3
MP10951_S45	7
MP11127_S63	3
MP11283_S11	7
MP11323_S50	3
MP11533_S10	3
MP11548_S49	4
MP11760_S78	2
MP11896_S20	7
MP11904_S38	3
MP11924_S86	2
MP11993_S28	3
MP12292_S36	7
MP12298_S74	5
MP12384_S4	7
MP12653_S64	6
MP12932_S68	3
MP12939_S73	3
MP12997_S26	6
MP13133_S56	3
MP13618_S90	3
MP13623_S16	4
MP13673_S59	3
MP13920_S3	1
MP13953_S58	5
MP14064_S5	4
MP14199_S33	4
MP14495_S52	6
MP14546_S85	4
MP14564_S1	8
MP14575_S23	7
MP14639_S55	1
MP14709_S9	7
MP14782_S75	4
MP14854_S95	7
MP14910_S92	2
MP14975_S43	2
MP15165_S7	8
MP15450_S69	2
MP15685_S48	7
MP15720_S82	8
MP15721_S19	4
MP15760_S30	2
MP15803_S72	2
MP15936_S53	3
MP16021_S8	2
MP16065_S2	1
MP16194_S24	5
MP16237_S15	5
MP16571_S37	4
MP16661_S60	1
MP16764_S27	7
MP16897_S31	6
MP16955_S76	3
MP17138_S13	2
MP17146_S47	5
MP17234_S39	7
MP17253_S70	8
MP17894_S87	5
MP17977_S67	3
MP18033_S18	5
MP18066_S14	8
MP18194_S89	2
MP18261_S79	3
MP18563_S44	4
MP18577_S93	2
MP18603_S61	5
MP18874_S12	1
MP19103_S34	5
MP19167_S40	4
MP19271_S91	4
MP19412_S57	4
MP19546_S83	7
MP19780_S17	4
MP19843_S88	5
MP19900_S81	4
MP19974_S66	5
MP19997_S51	8
MP10178_S75	3
MP10420_S33	2
MP10578_S73	5
MP10681_S70	8
MP10857_S21	8
MP10890_S39	2
MP11051_S22	7
MP11142_S62	3
MP11324_S90	6
MP11463_S58	6
MP11552_S57	7
MP11570_S37	2
MP11641_S42	6
MP11706_S56	5
MP11745_S68	1
MP11913_S52	4
MP12196_S2	2
MP12241_S40	5
MP12302_S34	2
MP12452_S38	3
MP12541_S35	1
MP12570_S5	7
MP12571_S43	3
MP12642_S47	5
MP12647_S36	4
MP12682_S31	5
MP12797_S27	7
MP13150_S54	7
MP13581_S32	8
MP13585_S17	8
MP13620_S44	2
MP14048_S23	3
MP14275_S46	7
MP14418_S79	8
MP14569_S66	2
MP14894_S74	3
MP14947_S26	7
MP15082_S8	1
MP15543_S80	6
MP15631_S29	2
MP15652_S49	5
MP15861_S13	3
MP15947_S12	4
MP16022_S55	6
MP16051_S65	4
MP16143_S7	7
MP16180_S83	3
MP16222_S11	7
MP16277_S78	3
MP16355_S9	3
MP16411_S92	3
MP16471_S89	2
MP16527_S48	3
MP16551_S14	4
MP16585_S63	1
MP16607_S3	3
MP16642_S85	2
MP16754_S88	8
MP16775_S51	4
MP17129_S18	8
MP17131_S6	7
MP17170_S64	5
MP17236_S24	3
MP17336_S60	7
MP17415_S94	5
MP17476_S82	8
MP17550_S41	3
MP17714_S95	3
MP17742_S67	1
MP17806_S28	7
MP17988_S25	2
MP18018_S53	7
MP18113_S91	7
MP18182_S93	5
MP18313_S1	2
MP18358_S77	3
MP18499_S86	6
MP18510_S69	5
MP18770_S71	7
MP18798_S45	1
MP18883_S4	1
MP19016_S61	3
MP19090_S72	5
MP19722_S81	4
MP19796_S30	3
MP19811_S20	5
MP10222_S32	3
MP10441_S16	4
MP10496_S73	7
MP10507_S56	8
MP10621_S87	3
MP10627_S70	7
MP10904_S47	3
MP11069_S40	3
MP11659_S45	8
MP11840_S64	5
MP12265_S58	8
MP12300_S75	5
MP12301_S61	3
MP12485_S52	7
MP12505_S15	4
MP12587_S27	1
MP12588_S17	7
MP12652_S83	7
MP12785_S90	5
MP12803_S9	6
MP12989_S21	7
MP13024_S37	3
MP13052_S86	4
MP13110_S68	3
MP13176_S78	7
MP13219_S53	3
MP13784_S12	1
MP13803_S34	4
MP13860_S91	3
MP13888_S19	8
MP14037_S77	8
MP14192_S80	4
MP14292_S44	7
MP14302_S24	3
MP14424_S74	3
MP14460_S1	5
MP14463_S5	5
MP14480_S89	7
MP14587_S3	7
MP14973_S54	2
MP15335_S29	6
MP15371_S36	3
MP15524_S81	3
MP15620_S57	3
MP15660_S18	4
MP15743_S25	6
MP15757_S72	3
MP15987_S42	4
MP16000_S28	3
MP16031_S50	3
MP16187_S69	2
MP16275_S4	3
MP16300_S2	2
MP16422_S48	5
MP16548_S88	3
MP16657_S76	4
MP16866_S10	6
MP17063_S6	5
MP17302_S8	8
MP17309_S93	3
MP17321_S14	4
MP17353_S11	5
MP17619_S7	3
MP17629_S65	6
MP17713_S51	7
MP17773_S33	5
MP17816_S39	3
MP17947_S79	5
MP17954_S66	5
MP18143_S31	7
MP18162_S20	8
MP18168_S23	2
MP18250_S43	3
MP18294_S92	7
MP18585_S62	5
MP18843_S82	8
MP18973_S85	2
MP19043_S26	7
MP19100_S46	7
MP19101_S59	5
MP19535_S94	7
MP19705_S55	3
MP19720_S30	7
MP19832_S38	3
MP10012_S89	4
MP10028_S31	7
MP10079_S58	7
MP10118_S25	8
MP10139_S20	3
MP10182_S68	3
MP10328_S73	3
MP10650_S35	2
MP10678_S59	3
MP11021_S57	5
MP11063_S17	1
MP11122_S36	2
MP11465_S62	2
MP11532_S66	2
MP11573_S5	5
MP12229_S65	6
MP12230_S15	5
MP12246_S90	5
MP12322_S77	6
MP12347_S1	3
MP12890_S10	3
MP13073_S14	4
MP13160_S11	2
MP13218_S43	4
MP13243_S64	5
MP13531_S56	2
MP13570_S82	2
MP13583_S48	2
MP13898_S94	4
MP14272_S55	7
MP14541_S26	3
MP14550_S50	2
MP14553_S12	7
MP14577_S86	4
MP14762_S34	1
MP15097_S80	8
MP15292_S53	7
MP15430_S70	5
MP15436_S85	7
MP15596_S33	7
MP15966_S40	3
MP15968_S19	5
MP15972_S16	2
MP16164_S9	3
MP16442_S67	2
MP16449_S75	5
MP16589_S24	4
MP16658_S4	2
MP16841_S42	6
MP16912_S45	1
MP16938_S95	7
MP17017_S87	4
MP17087_S41	7
MP17150_S3	8
MP17241_S83	3
MP17261_S30	3
MP17454_S93	2
MP17479_S22	8
MP17530_S6	3
MP17630_S72	7
MP17695_S32	7
MP17920_S13	1
MP17976_S61	5
MP18050_S47	4
MP18242_S51	5
MP18333_S37	7
MP18429_S60	4
MP18557_S44	2
MP18584_S52	6
MP18750_S49	5
MP18863_S79	5
MP18877_S28	3
MP18991_S76	7
MP19066_S23	3
MP19208_S46	3
MP19224_S69	4
MP19304_S29	5
MP19318_S92	3
MP19351_S91	6
MP19609_S71	3
MP19610_S18	3
MP19785_S8	2
MP10077_S62	6
MP10188_S29	1
MP10294_S80	5
MP10447_S67	5
MP10589_S35	1
MP10592_S61	7
MP10683_S33	8
MP11032_S72	2
MP11341_S90	3
MP11649_S16	2
MP11777_S64	5
MP11917_S36	8
MP11940_S40	5
MP11976_S9	7
MP12014_S48	3
MP12361_S14	3
MP12523_S18	8
MP12620_S53	4
MP12650_S51	8
MP13046_S52	6
MP13051_S41	7
MP13055_S27	6
MP13075_S26	3
MP13358_S63	6
MP13371_S47	7
MP13392_S77	5
MP13418_S69	8
MP13498_S34	5
MP13507_S17	6
MP13518_S11	7
MP13600_S28	8
MP13614_S20	2
MP13830_S15	2
MP13989_S70	3
MP14040_S75	4
MP14221_S4	4
MP14250_S91	1
MP14346_S68	1
MP14670_S59	1
MP15002_S42	5
MP15009_S82	7
MP15143_S55	3
MP15201_S58	1
MP15212_S73	7
MP15217_S65	7
MP15412_S38	8
MP15425_S60	7
MP15821_S93	4
MP15887_S46	4
MP16314_S24	4
MP16354_S81	6
MP16394_S74	4
MP16458_S5	7
MP16683_S7	4
MP16795_S50	1
MP16815_S83	3
MP16822_S21	6
MP16913_S12	1
MP17020_S22	7
MP17098_S94	8
MP17272_S79	2
MP17287_S32	5
MP17391_S87	2
MP17659_S44	2
MP17677_S8	6
MP17681_S85	1
MP18030_S88	8
MP18134_S10	2
MP18298_S54	5
MP18349_S89	3
MP18538_S1	5
MP18623_S3	4
MP18773_S76	7
MP18878_S43	8
MP18920_S30	4
MP18950_S86	2
MP19021_S6	8
MP19168_S78	7
MP19236_S57	5
MP19312_S71	5
MP19680_S37	6
MP19777_S25	8
MP10052_S88	4
MP10384_S78	4
MP10501_S17	1
MP10518_S2	3
MP10607_S37	2
MP10687_S3	5
MP10691_S7	8
MP10747_S82	5
MP10773_S81	5
MP10776_S1	2
MP10909_S70	5
MP11245_S41	1
MP11510_S27	8
MP11625_S66	5
MP11702_S15	5
MP11732_S50	5
MP11851_S60	5
MP11898_S33	5
MP11933_S65	5
MP11967_S56	5
MP12010_S47	8
MP12161_S54	5
MP12167_S10	2
MP12178_S26	1
MP12208_S74	6
MP12249_S49	5
MP12267_S58	6
MP12693_S35	3
MP12827_S83	5
MP12834_S44	5
MP12849_S4	2
MP12856_S51	5
MP12910_S89	2
MP12913_S34	5
MP12915_S72	8
MP12995_S12	2
MP13096_S24	2
MP13115_S75	8
MP13127_S8	8
MP13303_S9	5
MP13362_S16	1
MP13414_S38	5
MP13456_S53	1
MP13517_S23	4
MP13737_S43	8
MP13908_S94	5
MP13923_S39	4
MP13946_S18	8
MP13960_S63	1
MP13991_S36	8
MP14084_S29	4
MP14099_S62	1
MP14601_S30	5
MP14631_S68	2
MP14641_S22	3
MP14681_S64	2
MP14887_S90	8
MP15235_S5	5
MP15471_S69	2
MP15729_S85	3
MP15951_S52	2
MP15965_S20	3
MP16266_S42	4
MP16456_S31	2
MP16890_S11	5
MP16937_S92	8
MP17038_S19	2
MP17091_S73	4
MP17212_S13	5
MP17314_S55	4
MP18127_S71	5
MP18493_S25	2
MP18576_S40	1
MP18697_S91	1
MP19017_S45	2
MP19046_S87	5
MP19205_S61	6
MP19248_S57	4
MP19280_S6	4
MP19567_S77	3
MP19800_S95	8
MP19885_S59	5
MP10085_S93	4
MP10417_S61	4
MP10443_S91	7
MP10452_S27	5
MP10560_S26	4
MP10726_S11	3
MP10807_S45	1
MP10866_S68	7
MP10900_S44	6
MP11444_S60	6
MP11607_S6	4
MP11663_S42	3
MP11960_S24	1
MP11984_S54	7
MP12047_S92	4
MP12247_S15	2
MP12296_S2	4
MP12315_S48	6
MP12394_S39	3
MP12409_S74	1
MP12622_S16	3
MP12956_S85	5
MP13037_S56	7
MP13130_S37	5
MP13257_S9	3
MP13715_S95	2
MP13801_S71	6
MP14539_S3	5
MP14594_S32	3
MP14608_S12	7
MP14684_S30	7
MP15362_S64	1
MP15422_S80	1
MP15531_S38	8
MP15606_S21	7
MP15608_S70	7
MP15635_S59	2
MP15731_S18	7
MP15834_S82	3
MP15908_S87	3
MP16017_S83	7
MP16153_S33	8
MP16167_S23	4
MP16238_S62	3
MP16366_S36	8
MP16443_S72	3
MP16491_S63	2
MP16774_S31	7
MP16779_S77	4
MP16954_S57	7
MP16960_S29	4
MP16992_S94	8
MP17036_S7	8
