Taxon	NormalizedWeight	Selected
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae_[XI];Peptostreptococcus;stomatis	0.484473301726831	1
Bacteria;Bacteroidetes;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-3];bacterium_HMT_280	0.483255123201629	1
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_136	0.479692498962443	1
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;parvum	0.478479922673049	1
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;dentocariosa	0.476103778131211	1
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;infelix	0.475160463580194	1
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_348	0.475058222221594	1
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_392	0.470704123908582	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;baroniae	0.468431634218841	1
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp._HMT_326	0.467535579280741	1
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_138	0.465638821006027	1
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis	0.463169735002478	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae_[XI];Peptostreptococcaceae_[XI][G-7];[Eubacterium]_yurii_subsps._yurii_&_margaretiae	0.463059107971439	1
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_417	0.462417900317818	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	0.461561707583629	1
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp._HMT_458	0.458749849669779	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_526	0.457686569060036	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_[F-1];Clostridiales_[F-1][G-1];bacterium_HMT_093	0.457105948808233	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae	0.449157074990246	1
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineae_[G-1];bacterium_HMT_439	0.447713772728394	1
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hofstadii	0.445290414404036	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_317	0.440464919211059	1
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;sp._HMT_807	0.436176545159173	1
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp._HMT_203	0.435626746615852	1
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;shahii	0.432579257858584	1
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_346	0.425138897102451	1
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_952	0.420052679333435	1
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;sp._HMT_322	0.4153882912381	1
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;sp._HMT_169	0.414779210975152	1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;anginosus	0.411055741737929	1
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp._HMT_231	0.406364978839111	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_[F-3];Clostridiales_[F-3][G-1];bacterium_HMT_876	0.399502646741042	1
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;medium	0.396546846927706	1
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp._HMT_498	0.394014564996443	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_472	0.393581581422833	1
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas_unclassified	0.390885750596954	1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	0.390167028115549	1
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bergeyella;Bergeyella_unclassified	0.388146792147312	1
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Fretibacterium;sp._HMT_358	0.387754391077625	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae_[XIV];Catonella;morbi	0.387563428026578	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae_[XIV];Lachnoanaerobaculum;umeaense	0.386021947438972	1
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_146	0.382664697621381	1
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;artemidis	0.379794218163893	1
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	0.379070554249388	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;buccae	0.378809192745417	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_[F-2];Bacteroidales_[G-2];bacterium_HMT_274	0.377834744049462	1
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;moorei	0.374699714100972	1
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_126	0.370344035843417	1
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;rectus	0.359510043117989	1
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;nucleatum_subsp._animalis	0.357241862616789	1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	0.35712373388649	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae_[XI];Peptostreptococcaceae_[XI][G-9];[Eubacterium]_brachy	0.350409336417345	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae_[XIV];Johnsonella;ignava	0.350407859955024	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae_[XIV];Oribacterium;sp._HMT_078	0.35036803346486	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae_[XI];Peptostreptococcaceae_[XI][G-1];[Eubacterium]_infirmum	0.347819353387065	1
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_137	0.346805216288765	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens	0.346007173269073	1
